Date,Close,High,Low,Open,Volume
2003-10-09,13.382386207580566,13.962745042275941,11.94855888135951,12.221668538189814,45912180
2003-10-10,13.245834350585938,13.621361370932787,13.17755659213288,13.51894408210824,10378501
2003-10-13,12.665474891662598,13.518943585232579,12.563058908892174,13.450667131578882,7194153
2003-10-14,11.914424896240234,12.767893691034233,11.060956101446235,12.289950645033581,7436314
2003-10-15,11.88028335571289,12.153393063442763,11.74372915299286,11.812005603207968,3649267
2003-10-16,12.494781494140625,12.631337009756662,11.948562036256302,12.119255779631391,6520329
2003-10-17,12.597196578979492,12.904444481948696,12.392363341377004,12.8361667360812,5866217
2003-10-20,12.426502227783203,12.904443819750483,12.324084963092712,12.904443819750483,4967247
2003-10-21,12.187532424926758,12.631335856732369,12.119254673351326,12.631335856732369,3777809
2003-10-22,12.255809783935547,12.46064172981106,12.153392508708038,12.426503506261724,2817219
2003-10-23,12.153392791748047,12.358226044683667,12.119254567403667,12.289948293705127,1943792
2003-10-24,12.255809783935547,12.358225756873303,12.016838312220946,12.22167025809646,1864828
2003-10-27,12.221672058105469,12.494781793593033,12.187533829528252,12.494781793593033,2204414
2003-10-28,12.528921127319336,12.972724603289684,12.358227382539209,12.358227382539209,7430106
2003-10-29,12.767890930175781,12.972722875718597,12.597197208126854,12.972722875718597,4206938
2003-10-30,12.938586235046387,12.972724462716519,12.733752962155863,12.733752962155863,3987553
2003-10-31,13.245834350585938,13.55308361247973,12.904446860610578,12.972724619063635,6365872
2003-11-03,13.00685977935791,13.484802673512162,12.870305596949278,13.382386711133284,5515282
2003-11-04,12.870306015014648,13.10927746985427,12.802028270447662,13.075137946425947,2997424
2003-11-05,12.665474891662598,12.938585915436892,12.631336664835748,12.938585915436892,2177301
2003-11-06,12.665474891662598,12.767892176722896,12.631336664835748,12.767892176722896,1568619
2003-11-07,12.528921127319336,12.73375310013952,12.4606433689493,12.631337113729428,1937177
2003-11-10,12.563058853149414,12.69961436443066,12.426504644158038,12.69961436443066,1050553
2003-11-11,12.597196578979492,12.699612546635892,12.494779309033405,12.59719657897949,2161950
2003-11-12,12.631336212158203,12.699613965654862,12.563058458661544,12.665474437761619,2013373
2003-11-13,12.494781494140625,12.767892525372698,12.460643266381572,12.767892525372698,1382656
2003-11-14,12.221672058105469,12.528921324460192,12.153394298661093,12.460643565015815,2396364
2003-11-17,12.153392791748047,12.358226044683667,12.085116343059287,12.289948293705127,1258302
2003-11-18,11.982699394226074,12.426504136618743,11.88028341609308,12.426504136618743,2486799
2003-11-19,11.982699394226074,12.153393125211004,11.948561168945016,12.01683892179695,1530779
2003-11-20,11.914424896240234,12.050979122033254,11.846147132198707,11.98270135799173,1140882
2003-11-21,11.709588050842285,11.91442128081024,10.753703551194073,10.753703551194073,1785724
2003-11-24,11.846144676208496,11.914422426094406,11.743728702524514,11.88028290000657,1398106
2003-11-25,11.88028335571289,12.050977085830286,11.846145130605334,11.948561108217811,1313107
2003-11-26,11.88028335571289,11.88028335571289,11.88028335571289,11.88028335571289,0
2003-11-27,11.88028335571289,12.016838860722732,11.812005603207968,11.88028335571289,1317267
2003-11-28,11.88028335571289,12.016838860722732,11.812005603207968,11.948561108217811,1308349
2003-12-01,11.88028335571289,12.016838860722732,11.846145130605334,11.88028335571289,1629373
2003-12-02,11.777867317199707,11.982699271365519,11.743729092268673,11.948561046434484,1963388
2003-12-03,12.016836166381836,12.119252121031238,11.914420211732432,12.085113903577943,2514251
2003-12-04,12.221672058105469,12.528921324460192,11.948562322617905,11.982700551195121,3388108
2003-12-05,12.187532424926758,12.460642128938689,12.153392897994147,12.289948401145008,2574455
2003-12-08,12.016836166381836,12.324084030330043,11.948558429185727,12.085113903577943,1812828
2003-12-09,12.153392791748047,12.289948293705127,12.016838592080747,12.153392791748047,1690400
2003-12-10,12.050975799560547,12.255809035212286,11.982698054343302,12.255809035212286,1531444
