Date,Close,High,Low,Open,Volume
2015-12-23,1250.2967529296875,1279.2534711084907,1227.2218681309537,1248.758471460884,10984341
2015-12-24,1378.8377685546875,1397.1166565604244,1253.2832219512663,1255.9979148507998,5450848
2015-12-28,1328.75146484375,1393.9945502306775,1297.7134374896102,1386.9363057918981,2046162
2015-12-29,1326.17236328125,1351.0117515004847,1297.6228075362994,1330.0633556324865,1333944
2015-12-30,1319.5667724609375,1348.206800278098,1306.6719831535015,1337.4384979922959,622721
2015-12-31,1343.9991455078125,1354.269711061783,1305.3147735364548,1321.1504813609872,774495
2016-01-01,1360.1514892578125,1374.539382436769,1339.2483778844096,1352.8218411737787,508347
2016-01-04,1384.6292724609375,1429.7384018446287,1343.7731181894137,1357.2561163496716,1350429
2016-01-05,1418.6077880859375,1437.7916816536308,1387.7508049600588,1391.7323761126836,658233
2016-01-06,1381.7783203125,1431.5476769707761,1373.6342437684186,1408.0203447323183,594918
2016-01-07,1327.801513671875,1370.8294401104495,1319.7479026824517,1360.9660338632295,349010
2016-01-08,1336.71435546875,1360.875181609169,1330.1991385663364,1339.2481122980803,190247
2016-01-11,1335.357421875,1343.5920788832968,1311.875371972417,1324.227247023723,187799
2016-01-12,1334.090576171875,1350.1072195111128,1325.6749843054827,1340.1533459088191,143904
2016-01-13,1281.1085205078125,1347.075564422404,1234.2800790906983,1337.4383848211526,353619
2016-01-14,1299.251953125,1323.8651224265382,1239.709649845767,1264.1418838208297,395952
2016-01-15,1295.49658203125,1330.199380512253,1286.764298699608,1306.852979853506,257237
2016-01-18,1216.7252197265625,1285.9047034783582,1205.5497571122119,1285.8594144165531,635080
2016-01-19,1203.875732421875,1244.2341413885056,1159.1737709954004,1226.1361902410365,467691
2016-01-20,1196.99853515625,1228.03645515137,1177.2717241868086,1194.4647778067542,332152
2016-01-21,1238.443115234375,1244.2344832851702,1210.7532644622238,1211.6581622682495,197466
2016-01-22,1236.8138427734375,1266.6754577525396,1190.3925607578433,1253.2829316986795,166387
2016-01-25,1227.8101806640625,1246.7678500271088,1221.6116547304327,1243.1482599390185,120355
2016-01-27,1212.1102294921875,1234.9136028390583,1204.463889623476,1234.9136028390583,90193
2016-01-28,1221.701904296875,1232.4702049788523,1203.5134894433727,1207.1330788853077,116177
2016-01-29,1229.57470703125,1240.614411806718,1215.2772830462598,1215.2772830462598,136274
2016-02-01,1242.83154296875,1252.7402377934845,1214.9154745854028,1231.5656122287003,145523
2016-02-02,1242.1529541015625,1294.8180633594113,1238.6239416521478,1251.2925086922905,141659
2016-02-03,1242.69580078125,1255.6357689612387,1226.5885808395572,1231.5655171690426,78557
2016-02-04,1219.3494873046875,1261.4272247144597,1211.657857885697,1248.9395939438816,127453
2016-02-05,1210.7982177734375,1222.0641481498646,1203.5137482705072,1217.0872115968662,31085
2016-02-08,1197.496337890625,1225.910147494443,1191.0262973045153,1217.0873950027872,38022
2016-02-09,1211.1151123046875,1216.5444985429383,1176.3670182876538,1185.415995351405,42425
2016-02-10,1195.279052734375,1212.5625717771852,1167.317699695947,1210.662309241996,50038
2016-02-11,1154.468017578125,1201.7036123740522,1133.4743339768604,1194.4644339862566,123980
2016-02-12,1194.23876953125,1257.5816101201399,1135.646641986527,1154.6947832337878,518016
2016-02-15,1189.8951416015625,1230.20837680223,1169.173073421177,1230.20837680223,130223
2016-02-16,1185.0537109375,1206.228333940609,1168.5393320219591,1194.4646667678949,85016
2016-02-17,1192.564453125,1201.0252227697483,1163.6982004007507,1187.225535712119,143402
2016-02-18,1184.1490478515625,1207.3596947673104,1178.357680774129,1190.3928637559654,46411
2016-02-19,1185.7325439453125,1197.1795206377412,1171.8423879258314,1180.8913638943704,75666
2016-02-22,1159.716552734375,1191.7046555798238,1149.2197643802897,1185.4156624710076,71363
2016-02-23,1185.4158935546875,1194.4648698413646,1160.078759951992,1164.69371576597,124252
2016-02-24,1157.4542236328125,1183.5153125181237,1150.1245769029144,1180.8910880081066,50434
2016-02-25,1151.16552734375,1162.793439648003,1140.1709991879252,1160.3502602627686,30759
2016-02-26,1157.8616943359375,1167.2273618057209,1110.3092843076665,1160.0786491299336,41075
2016-02-29,1144.3787841796875,1158.2689403961174,1133.4295451947323,1158.088005058634,20747
2016-03-01,1190.12109375,1195.7767028680735,1141.2114523735695,1146.6408371269201,61308
2016-03-02,1177.3621826171875,1200.889518965235,1173.154386908869,1198.0843586467317,37130
2016-03-03,1182.8365478515625,1203.4229617757678,1170.9824151127013,1187.3157453781043,127326
2016-03-04,1186.5921630859375,1218.8969603906846,1178.9457127592998,1185.4157521245709,55849
2016-03-08,1214.91552734375,1247.8538229347628,1198.98935126074,1217.0873037326003,119691
2016-03-09,1217.7657470703125,1226.13604850847,1199.8940223780303,1217.0870739807322,40059
2016-03-10,1219.98291015625,1229.7558485009763,1213.4676915671885,1228.8509508935435,30565
2016-03-11,1237.1759033203125,1241.5194558049561,1212.472266139646,1213.4676313662144,54502
2016-03-14,1225.2313232421875,1236.8592350522229,1192.9265238226913,1221.6117329224173,93659
2016-03-15,1227.2220458984375,1239.5287412759885,1217.132526315399,1225.231315419726,30214
2016-03-16,1227.2674560546875,1235.185310609879,1216.1824596774195,1235.185310609879,22480
2016-03-17,1222.3807373046875,1257.5359822684434,1209.4859482301003,1235.1850587236063,46550
2016-03-18,1253.1875,1262.3475392836565,1208.8459227364453,1235.0042712847323,105456
2016-03-21,1230.720458984375,1265.081785750382,1225.8897707739654,1264.0336049583082,27507
2016-03-22,1241.8402099609375,1248.6760276304474,1222.15307732476,1233.1815075795585,67466
2016-03-23,1235.7333984375,1245.8958901171527,1229.5355468773212,1232.2698735197466,61753
2016-03-28,1264.44384765625,1269.6390238528531,1232.725613611618,1239.561430322958,92882
2016-03-29,1285.45263671875,1292.4251926263246,1226.6646078581025,1271.0062983902747,226373
2016-03-30,1249.6788330078125,1295.15983759333,1244.2101778174112,1292.4255099981294,68085
2016-03-31,1236.3260498046875,1258.7020061486471,1230.4472905870193,1255.0562363987597,57439
2016-04-01,1209.9849853515625,1216.7751843858878,1157.5314488165375,1168.4687538447251,288351
2016-04-04,1235.14111328125,1248.2659052715337,1183.0521611304675,1215.8640854761509,168161
2016-04-05,1215.317138671875,1244.8933956736514,1207.7066180094498,1231.3585002874154,28090
2016-04-06,1197.08837890625,1234.0929152656015,1193.078010400792,1214.0411839983612,40140
2016-04-07,1219.3275146484375,1223.0644057075308,1200.4605928827023,1211.2156561845247,74984
2016-04-08,1222.153076171875,1236.325938037257,1212.3094542330455,1218.142707557535,20874
2016-04-11,1211.8084716796875,1232.27031216689,1207.1145203539597,1232.27031216689,21031
2016-04-12,1215.77294921875,1224.021435569436,1210.5776611689867,1214.9526288677293,9640
2016-04-13,1220.4212646484375,1230.447130153391,1216.775495373909,1216.957739333616,14050
2016-04-18,1163.7296142578125,1173.026281542239,1126.907321784896,1153.8859925660254,319467
2016-04-20,1160.3570556640625,1182.0494247729016,1143.8599739098793,1167.5574713773349,66906
2016-04-21,1132.056884765625,1179.7708640334395,1102.2982732180642,1178.49482263859,294279
2016-04-22,1124.5377197265625,1143.8146382002408,1094.870223991792,1134.1989872762674,32915
2016-04-25,1118.0660400390625,1137.4341857116315,1112.8708642920787,1124.8563508073446,34850
2016-04-26,1113.6002197265625,1121.0740019018908,1098.3335615705814,1117.4282327900148,42982
2016-04-27,1104.1668701171875,1121.0741714343064,1088.2622444654974,1119.251286602706,177077
2016-04-28,1086.5303955078125,1111.7774151805008,1084.6163888383435,1111.7774151805008,74937
2016-04-29,1085.4822998046875,1101.888263277173,1076.4134922780877,1087.350801259745,42594
2016-05-02,1138.6649169921875,1169.198234232525,1050.4372572981786,1050.4372572981786,174739
