Date,Close,High,Low,Open,Volume
2017-10-03,694.6608276367188,726.519710719837,688.9174187577818,721.6107937555138,35367877
2017-10-04,690.8319091796875,697.8025473079911,686.2665924281192,697.2135012408932,3613280
2017-10-05,681.897705078125,691.7155398929373,673.601622674947,691.7155398929373,2680742
2017-10-06,684.0575561523438,689.2119187928888,676.448735111539,681.2594975453682,1416485
2017-10-09,685.9229125976562,689.7027542566483,681.4557507346526,681.4557507346526,951473
2017-10-10,687.2484130859375,688.4265652073175,682.8794647609443,685.6284464286268,555002
2017-10-11,677.3324584960938,690.1937983364537,673.5034788887727,687.2484478456864,1077409
2017-10-12,675.1724853515625,681.3577090542817,672.5216580723097,678.5105131018795,439314
2017-10-13,677.135986328125,682.3885032646156,667.6126758787243,676.3996488179646,1344510
2017-10-16,657.89306640625,676.8906121330548,656.8131285797016,673.5034472431619,971834
2017-10-17,660.7892456054688,661.7219517357499,656.8130351798468,658.2857101466177,664335
2017-10-18,656.2240600585938,660.5929483267087,652.0514805352852,658.7766729741196,415712
2017-10-19,662.802001953125,665.8946438777966,653.9659506521295,653.9659506521295,93358
2017-10-23,653.6714477539062,661.5257158192541,652.8860329320335,657.7949504728758,292330
2017-10-24,653.720458984375,659.2184820293548,650.9224002377424,651.7078149803671,350373
2017-10-25,657.6967163085938,661.1820353551385,646.1116243789031,654.8495205109642,583868
2017-10-26,654.7022705078125,657.6967579728207,648.4679695615921,657.6967579728207,242175
2017-10-27,650.1370239257812,653.9168663049531,646.9953048462669,651.1188073929227,396395
2017-10-30,643.068115234375,652.8859490547471,638.061043955306,652.8859490547471,1164020
2017-10-31,650.038818359375,656.8131483429983,643.8535944179366,643.8535944179366,1402840
2017-11-01,635.262939453125,652.7386720563518,630.5503910994789,651.9041801324313,859011
2017-11-02,631.041259765625,641.693585338828,629.5195075299247,635.2629162632552,574130
2017-11-03,630.5504150390625,641.5954787513076,629.4213401124885,631.335829807272,672547
2017-11-06,644.7862548828125,647.8788965953862,630.943132763291,630.943132763291,483071
2017-11-07,630.6484985351562,646.9952149613912,627.8995171937282,646.9952149613912,763293
2017-11-08,620.0944213867188,637.1774778911831,617.5418083105611,637.1774778911831,843603
2017-11-09,645.96435546875,658.1875699404939,621.4688493433074,621.4688493433074,356798
2017-11-10,664.2255249023438,666.8272747939916,643.1662596973358,643.1662596973358,784443
2017-11-13,652.885986328125,668.3981526652449,650.9224194519502,652.885986328125,192279
2017-11-14,647.9769897460938,655.5858104590213,642.086289839311,643.2644418053272,350594
2017-11-15,637.5210571289062,648.0261519929869,632.6612770065112,638.2573947139123,269314
2017-11-16,638.0609741210938,647.1915465900606,631.090276917574,636.7846079254988,261879
2017-11-17,647.5352172851562,651.6096422877115,633.3484354377881,641.1045481209768,3200674
2017-11-20,649.400634765625,652.8859538125956,644.5407950044647,645.3262097311577,712433
2017-11-21,674.927001953125,683.7139752589256,647.9770359723422,647.9770359723422,2077453
2017-11-22,680.523193359375,686.2175251422426,668.7417924610404,676.4487682460461,669175
2017-11-23,654.1622314453125,676.4487253838377,651.9041417342064,676.4487253838377,827451
2017-11-24,643.7554321289062,658.2367382858799,643.0681717164562,655.8313568039583,599114
2017-11-27,641.7918701171875,650.627921399416,639.9755347329669,643.6081455781002,239417
2017-11-28,641.54638671875,654.8004628667494,640.1227887774521,641.1045721958225,269211
2017-11-29,644.2462158203125,646.4061510729366,638.9445620114438,642.1353577482099,258606
2017-11-30,642.969970703125,653.818665255964,641.9390501975709,653.818665255964,316178
2017-12-01,643.9517822265625,646.0135034811161,640.368248701456,646.0135034811161,86648
2017-12-04,649.6951904296875,653.6714013709656,641.153662530046,647.9770694123064,162592
2017-12-05,647.0933837890625,650.0878709534092,641.6444981662897,647.9770127758043,125688
2017-12-06,644.1480712890625,647.9770505571307,642.1354272833564,642.1354272833564,210799
2017-12-07,656.2240600585938,657.7948895568705,639.1410046291384,643.1662926705378,279051
2017-12-08,673.2088623046875,677.3323644036018,651.9532285797472,651.9532285797472,480717
2017-12-11,662.4583740234375,670.312641518343,658.8257633223826,667.6127370669692,122163
2017-12-12,663.734619140625,669.5762420345305,658.7766252275219,658.8257024101665,121938
2017-12-13,663.0472412109375,669.5761232737583,645.0315439748668,658.825585556186,260250
2017-12-14,667.5144653320312,670.5579694818844,661.0346598340126,662.8018577250014,444539
2017-12-15,676.4488525390625,678.4124196001338,665.6492337031704,668.1036925295094,351667
2017-12-18,679.5414428710938,681.3577182949203,652.8859980779856,669.0363479098393,259324
2017-12-19,684.59765625,687.1503294295862,675.5652356209106,675.5652356209106,343970
2017-12-20,684.4503784179688,690.9301254295837,679.5414610081671,679.5414610081671,531872
2017-12-21,689.0155029296875,691.5681754450467,680.6703449405568,680.6703449405568,259491
2017-12-22,690.04638671875,691.0773071497024,681.3576282528566,681.3576282528566,390144
2017-12-26,688.9174194335938,694.906274166622,684.4993941613689,689.9482800124523,272983
2017-12-27,687.6900634765625,689.2118154719348,682.4374873334494,687.2482490460887,163978
2017-12-28,686.1683959960938,690.1936836955533,677.9704692044786,684.3029836924618,269410
2017-12-29,682.68310546875,692.5500771880135,680.3759383052915,682.78131976881,667407
2018-01-01,686.7575073242188,690.1937493194079,681.3576984746359,681.3576984746359,174646
2018-01-02,672.619873046875,687.3957631254946,667.7109553923998,686.7575798610883,342012
