Date,Adj Close,Close,High,Low,Open,Volume
2018-12-21,1100.42138671875,1130.050048828125,1180.0,1105.0,1132.25,26515
2018-12-24,1045.4029541015625,1073.550048828125,1121.0,1073.550048828125,1120.0,893
2018-12-26,1077.2452392578125,1106.25,1121.0,1021.0,1073.0,3489
2018-12-27,1052.657470703125,1081.0,1121.0,1060.050048828125,1060.050048828125,560
2018-12-28,1070.9647216796875,1099.800048828125,1119.9000244140625,1071.0,1071.0,6582
2018-12-31,1071.01318359375,1099.8499755859375,1119.9000244140625,1051.0,1119.9000244140625,9313
2019-01-01,1064.3917236328125,1093.050048828125,1119.0,1080.0,1100.0,1498
2019-01-02,1052.657470703125,1081.0,1099.800048828125,1066.0,1093.0,2783
2019-01-03,1052.0244140625,1080.3499755859375,1115.0,1061.0,1115.0,799
2019-01-04,1061.42138671875,1090.0,1100.0,1060.0,1100.0,1547
2019-01-07,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-08,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-09,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-10,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-11,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-14,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-15,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-16,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-17,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-18,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-21,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-22,1061.42138671875,1090.0,1090.0,1090.0,1090.0,0
2019-01-23,879.324462890625,903.0,903.0,903.0,903.0,147
2019-01-24,923.2905883789062,948.1500244140625,948.1500244140625,948.1500244140625,948.1500244140625,110
2019-01-25,969.4478149414062,995.5499877929688,995.5499877929688,995.5499877929688,995.5499877929688,150
2019-01-28,1017.8935546875,1045.300048828125,1045.300048828125,1044.699951171875,1044.699951171875,3724
2019-01-29,1012.7323608398438,1040.0,1097.550048828125,1001.0,1097.550048828125,38592
2019-01-30,1007.0843505859375,1034.199951171875,1049.8499755859375,1003.0,1049.8499755859375,7091
2019-01-31,1004.3089599609375,1031.3499755859375,1040.0,995.0,1000.0,12186
2019-02-01,1019.7922973632812,1047.25,1058.199951171875,1030.0,1030.0,81285
2019-02-04,1017.1631469726562,1044.550048828125,1057.0,1020.0,1020.0,86316
